,Date,10591226
414,17-8-2023,191
415,21-8-2023,189
416,16-8-2023,148
417,15-8-2023,144
418,26-8-2023,141
419,28-8-2023,123
420,23-8-2023,115
421,25-8-2023,107
422,22-8-2023,103
423,24-8-2023,82
424,03-9-2023,64
425,29-8-2023,49
426,30-10-2023,42
427,31-8-2023,33
428,04-9-2023,29
429,30-8-2023,29
430,01-9-2023,28
431,02-9-2023,26
432,24-9-2023,21
433,10-9-2023,21
434,30-6-2024,20
435,04-8-2024,19
436,15-10-2023,18
437,05-9-2023,17
438,17-9-2023,16
439,29-10-2023,15
440,25-9-2023,14
441,11-8-2024,14
442,28-7-2024,14
443,12-9-2023,13
444,06-9-2023,13
445,29-7-2024,13
446,15-3-2024,13
447,02-1-2024,13
448,23-9-2023,12
449,20-9-2023,12
450,19-9-2023,12
451,16-9-2023,12
452,09-9-2023,12
453,18-9-2023,11
454,08-9-2023,11
455,05-8-2024,11
456,14-7-2024,11
457,07-7-2024,11
458,25-6-2024,11
459,08-10-2023,10
460,03-8-2024,10
461,21-7-2024,10
462,24-8-2024,9
463,01-8-2024,9
464,02-7-2024,9
465,29-6-2024,9
466,28-6-2024,9
467,16-6-2024,9
468,05-11-2023,8
469,07-10-2023,8
470,15-9-2023,8
471,11-9-2023,8
472,07-8-2024,8
473,02-8-2024,8
474,31-7-2024,8
475,24-7-2024,8
476,01-7-2024,8
477,27-6-2024,8
478,26-11-2023,7
479,04-11-2023,7
480,21-10-2023,7
481,29-9-2023,7
482,28-9-2023,7
483,12-8-2024,7
484,10-8-2024,7
485,30-7-2024,7
486,25-7-2024,7
487,22-7-2024,7
488,11-7-2024,7
489,06-7-2024,7
490,18-6-2024,7
491,15-4-2024,7
492,12-4-2024,7
493,01-1-2024,7
494,17-12-2023,6
495,22-10-2023,6
496,04-10-2023,6
497,26-9-2023,6
498,22-9-2023,6
499,07-9-2023,6
500,18-8-2024,6
501,13-8-2024,6
502,09-8-2024,6
503,06-8-2024,6
504,27-7-2024,6
505,20-7-2024,6
506,18-7-2024,6
507,15-7-2024,6
508,13-7-2024,6
509,26-6-2024,6
510,23-6-2024,6
511,16-3-2024,6
512,29-12-2023,5
513,24-11-2023,5
514,23-11-2023,5
515,13-11-2023,5
516,28-10-2023,5
517,27-10-2023,5
518,19-10-2023,5
519,14-9-2023,5
520,13-9-2023,5
521,26-8-2024,5
522,25-8-2024,5
523,15-8-2024,5
524,10-6-2024,5
525,13-4-2024,5
526,17-3-2024,5
527,29-2-2024,5
528,21-1-2024,5
529,07-1-2024,5
530,26-12-2023,4
531,24-12-2023,4
532,16-12-2023,4
533,30-11-2023,4
534,17-11-2023,4
535,12-11-2023,4
536,01-11-2023,4
537,18-10-2023,4
538,17-10-2023,4
539,14-10-2023,4
540,13-10-2024,4
541,11-10-2023,4
542,10-10-2023,4
543,09-10-2023,4
544,17-9-2024,4
545,17-8-2024,4
546,08-8-2024,4
547,23-7-2024,4
548,17-7-2024,4
549,16-7-2024,4
550,04-7-2024,4
551,21-6-2024,4
552,06-6-2024,4
553,05-5-2024,4
554,04-5-2024,4
555,28-4-2024,4
556,19-4-2024,4
557,14-4-2024,4
558,08-4-2024,4
559,31-3-2024,4
560,20-2-2024,4
561,17-1-2020,4
